LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
46,MoveToLL,MoveToLL_PickUpML_stick3_initlocstick3_robot1_gripper1_rppickup,movel,rppickup,,True,5921.61
47,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup7,movej,rpmanipulate,,True,10747.73
48,MoveToLL,MoveToLL_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,planned,finallocstick3,,True,15868.28
49,MoveToLL,MoveToLL_StackML_stick3_table1_robot1_gripper1_finallocstick3_rpmanipulate,movej,rpmanipulate,,True,9357.72
50,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup8,movej,rppickup,,True,10753.96
51,MoveToLL,MoveToLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,initloccube1,,True,5266.93
52,CloseGripperLL,CloseGripperLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,close_gripper,,,True,12.84
53,MoveToLL,MoveToLL_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,movel,rppickup,,True,5132.42
54,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup8,movej,rpmanipulate,,True,10824.35
55,MoveToLL,MoveToLL_StackML_cube1_stick1_robot1_gripper1_finloccube1_rpmanipulate,planned,finloccube1,,True,17453.65
56,MoveToLL,MoveToLL_StackML_cube1_stick1_robot1_gripper1_finloccube1_rpmanipulate,movej,rpmanipulate,,True,10045.22
57,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup9,movej,rppickup,,True,10750.72
58,MoveToLL,MoveToLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,initlocstick7,,True,6386.71
59,CloseGripperLL,CloseGripperLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,close_gripper,,,True,13.71
60,MoveToLL,MoveToLL_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,movel,rppickup,,True,5919.65
